Title,Original Title,Year,Critic Rating,User Rating,Genre,Production Country,Duration,Cover URL
Joker,No original title,2019,8.4,8.1,Dramat,USA,122 min,https://mediakrytyk.pl/images/movies/04/048751f52c.jpg
Podziemny krąg,Fight Club,1999,8.4,8.6,Thriller,Thriller,139 min,https://mediakrytyk.pl/images/movies/22/223182739f.jpg
Klaus,No original title,2019,8.4,7.8,Animacja,Hiszpania,96 min,https://mediakrytyk.pl/images/movies/b7/b7a4f3c38b.jpg
Mroczny Rycerz,The Dark Knight,2008,8.4,8.8,Akcja,"Akcja, Sci-Fi",152 min,https://mediakrytyk.pl/images/movies/b4/b491bdebe3.jpg
Długa podróż dnia ku nocy,Di Qiu Zui Hou De Ye Wan,2018,8.4,6.9,Dramat,Dramat,138 min,https://mediakrytyk.pl/images/movies/e5/e523848a21.jpg
Wybraniec,No original title,2024,8.4,7.1,Biograficzny,"USA, Kanada, Dania, Irlandia",122 min,https://mediakrytyk.pl/images/movies/60/60a27b98c6.jpg
Better Man: Niesamowity Robbie Williams,No original title,2024,8.4,6.5,Biograficzny,"USA, Wielka Brytania, Chiny, Francja, Australia",134 min,https://mediakrytyk.pl/images/movies/e3/e3ae11d877.jpg
Samotny mężczyzna,A Single Man,2009,8.4,7.5,Dramat,Dramat,99 min,https://mediakrytyk.pl/images/movies/04/04df719474.jpg
Na noże,Knives Out,2019,8.4,8.2,Dramat,"Dramat, Komedia, Kryminał",130 min,https://mediakrytyk.pl/images/movies/82/8205274a6d.jpg
Mitchellowie kontra maszyny,The Mitchells vs. The Machines,2021,8.4,7.6,Animacja,"Animacja, Komedia",113 min,https://mediakrytyk.pl/images/movies/9c/9c87d228db.jpg
Obiecująca. Młoda. Kobieta.,No original title,2020,8.4,7.9,Dramat,"Wielka Brytania, USA",113 min,https://mediakrytyk.pl/images/movies/31/31b0605df8.jpg
Sekrety morza,Song of the Sea,2014,8.4,7.4,Animacja,"Animacja, Familijny, Fantasy",93 min,https://mediakrytyk.pl/images/movies/ae/aec90d6251.jpg
Fantastyczny Pan Lis,Fantastic Mr. Fox,2009,8.3,7.7,Animacja,"Animacja, Familijny, Komedia, Przygodowy",87 min,https://mediakrytyk.pl/images/movies/79/792a3e7c79.jpg
Conan Barbarzyńca,Conan the Barbarian,1982,8.3,6.7,Fantasy,"Fantasy, Przygodowy",129 min,https://mediakrytyk.pl/images/movies/5b/5b6affe016.jpg
Batman,No original title,1989,8.3,8.2,Akcja,"Wielka Brytania, USA",126 min,https://mediakrytyk.pl/images/movies/1e/1e32b0e03e.jpg
Rozstanie,Jodaeiye Nader az Simin,2011,8.3,8.1,Dramat,Dramat,123 min,https://mediakrytyk.pl/images/movies/d3/d34f4b216b.jpg
Cyrk,The Circus,1928,8.3,7.4,Komedia,"Komedia, Niemy",78 min,https://mediakrytyk.pl/images/movies/0b/0b32b55ca3.jpg
Carrie,No original title,1976,8.3,6.9,Horror,USA,98 min,https://mediakrytyk.pl/images/movies/7a/7a88daf338.jpg
Martyrs. Skazani na strach,Martyrs,2008,8.3,6.3,Dramat,"Dramat, Horror",99 min,https://mediakrytyk.pl/images/movies/82/82d028aecb.jpg
Upadek,Falling Down,1993,8.3,7.6,Thriller,Thriller,112 min,https://mediakrytyk.pl/images/movies/f1/f17f09119a.jpg
